SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
PV11|PV11_00005T0	PV11|PV11_03727T0	0.564725	3.878845	0.145591	573.769458	176.230542	0.835421	4.030371	1464
PV11|PV11_00008T0	PV11|PV11_08369T0	0.347197	2.082428	0.166727	508.031552	202.968448	2.187244	2.527655	2214
PV11|PV11_00009T0	PV11|PV11_06686T0	0.511451	2.122400	0.240978	2347.597130	895.402870	1.572643	2.868718	3744
PV11|PV11_00010T1	PV11|PV11_00010T0	0.000000	0.000000	99.000000	2528.114266	1041.885734	4.600000	0.000000	3627
PV11|PV11_00012T0	PV11|PV11_02667T0	0.439817	1.985125	0.221556	902.965271	372.034729	2.038050	2.672177	1620
PV11|PV11_00013T0	PV11|PV11_03479T0	0.142231	0.237696	0.598374	256.333412	91.666588	2.388416	0.502133	378
PV11|PV11_00017T0	PV11|PV11_03476T0	0.181164	0.756032	0.239625	253.768737	103.231263	3.757978	1.042183	546
PV11|PV11_00018T0	PV11|PV11_03475T0	0.356676	1.017025	0.350706	573.493747	236.506253	2.760506	1.648460	1209
PV11|PV11_00021T0	PV11|PV11_00003T0	0.358805	0.985486	0.364090	635.186052	219.813948	1.579816	1.559761	3984
PV11|PV11_00022T0	PV11|PV11_03486T0	0.030231	0.035255	0.857499	303.853601	116.146399	1.992023	0.094861	420
PV11|PV11_00029T0	PV11|PV11_03490T0	0.470573	1.854764	0.253711	578.865723	207.134277	2.123056	2.506046	858
PV11|PV11_00031T1	PV11|PV11_00031T0	0.000000	0.000000	99.000000	1161.202683	485.797317	4.600000	0.000000	1647
PV11|PV11_00032T0	PV11|PV11_03492T0	0.120055	0.602829	0.199153	322.752728	133.247272	2.816133	0.783379	906
PV11|PV11_00033T0	PV11|PV11_03954T0	0.744914	4.615541	0.161393	1395.378572	470.621428	1.275826	5.163359	3423
PV11|PV11_00034T0	PV11|PV11_06660T0	0.777182	2.887740	0.269131	1377.786928	506.213072	1.565533	4.032807	2346
PV11|PV11_00036T0	PV11|PV11_07691T0	0.821514	2.470294	0.332557	1087.701633	358.298367	1.452087	3.690174	1599
PV11|PV11_00037T0	PV11|PV11_10206T1	0.541107	3.659119	0.147879	1177.170556	415.829444	1.158349	4.065055	1710
PV11|PV11_00040T0	PV11|PV11_08576T0	1.012989	3.362692	0.301243	682.220830	265.779170	1.736474	5.015240	1104
PV11|PV11_00041T0	PV11|PV11_03581T0	0.141084	4.021971	0.035078	665.715374	213.284626	1.776137	3.248281	888
PV11|PV11_00042T0	PV11|PV11_07848T0	0.852533	4.032207	0.211431	710.784506	216.215494	1.198768	4.782501	999
PV11|PV11_00044T0	PV11|PV11_06503T0	0.670434	4.182435	0.160298	731.833399	264.166601	1.199756	4.805741	1470
PV11|PV11_00045T0	PV11|PV11_06875T0	0.852744	4.419112	0.192967	1224.817076	362.182924	1.497215	4.999967	2232
PV11|PV11_00047T0	PV11|PV11_08659T0	0.825407	4.275503	0.193055	936.932086	299.067914	1.490292	4.980623	1374
PV11|PV11_00048T0	PV11|PV11_06712T0	0.528152	2.968621	0.177911	678.351949	266.648051	1.192291	3.650317	1119
PV11|PV11_00049T0	PV11|PV11_10020T0	0.415809	2.036943	0.204134	690.474527	209.525473	1.122849	2.379656	1338
PV11|PV11_00051T0	PV11|PV11_00665T0	0.637753	4.169309	0.152964	823.416474	259.583526	1.346923	4.452689	1305
PV11|PV11_00052T0	PV11|PV11_05824T0	0.715892	4.291394	0.166820	975.527649	305.472351	1.226713	4.705561	1485
PV11|PV11_00053T0	PV11|PV11_09143T1	0.827769	2.307040	0.358801	2587.227462	919.772538	1.372766	3.647202	4785
PV11|PV11_00054T0	PV11|PV11_10199T0	0.554721	2.568216	0.215995	1274.049003	441.950997	1.724690	3.219873	2292
PV11|PV11_00055T0	PV11|PV11_04804T0	0.960873	4.620575	0.207955	1500.208873	473.791127	1.259027	5.517778	2973
PV11|PV11_00061T0	PV11|PV11_05756T0	0.702954	3.467855	0.202706	360.118866	101.881134	1.259845	3.938025	606
PV11|PV11_00062T0	PV11|PV11_05975T0	0.879947	1.541889	0.570694	674.409554	261.590446	1.573729	3.194833	1077
PV11|PV11_00065T0	PV11|PV11_02317T0	0.472243	3.499687	0.134939	388.701704	106.298296	0.962151	3.367105	507
PV11|PV11_00066T0	PV11|PV11_10025T0	0.329187	3.781911	0.087042	508.135871	154.864129	1.581544	3.407031	801
PV11|PV11_00068T0	PV11|PV11_04891T0	0.363501	4.294279	0.084648	965.350399	306.649601	1.024458	3.933360	1356
PV11|PV11_00069T1	PV11|PV11_00069T0	0.013199	0.023143	0.570301	841.314111	175.685889	0.216909	0.044750	1200
PV11|PV11_00073T0	PV11|PV11_09091T0	0.361365	4.435267	0.081475	1306.931235	370.068765	1.321586	3.781097	1704
PV11|PV11_00077T0	PV11|PV11_04874T0	0.245625	4.590473	0.053508	1368.848370	455.151630	0.997916	3.989448	1848
PV11|PV11_00079T0	PV11|PV11_08399T0	0.765040	3.981388	0.192154	709.949699	202.050301	1.084983	4.432831	1146
PV11|PV11_00080T0	PV11|PV11_02009T0	0.439755	4.341621	0.101288	1053.369885	326.630115	1.353525	4.089847	1488
PV11|PV11_00081T0	PV11|PV11_04353T2	0.391620	2.657680	0.147354	916.380547	286.619453	1.584034	2.794552	1305
PV11|PV11_00082T0	PV11|PV11_00114T0	0.756672	4.069513	0.185937	762.757499	227.242501	1.196117	4.551283	1158
PV11|PV11_00084T1	PV11|PV11_00084T0	0.009111	0.006797	1.340392	1104.386519	443.613481	2.537366	0.025344	1587
PV11|PV11_00094T0	PV11|PV11_02951T0	0.748675	2.982886	0.250990	2017.099018	652.900982	1.252875	3.885033	3522
PV11|PV11_00097T0	PV11|PV11_05835T0	0.539416	1.767959	0.305107	872.730936	330.269064	1.742808	2.630093	1284
PV11|PV11_00099T0	PV11|PV11_00329T0	0.675483	2.504404	0.269718	4359.195033	1391.804967	1.370871	3.354305	7023
PV11|PV11_00100T0	PV11|PV11_06410T0	0.662927	4.455690	0.148782	1164.715160	380.284840	1.479717	4.789424	1704
PV11|PV11_00102T1	PV11|PV11_00102T0	0.000000	0.000000	99.000000	1213.444574	637.555426	4.600000	0.000000	1851
PV11|PV11_00107T0	PV11|PV11_10040T0	0.949921	4.869296	0.195084	1958.897944	660.102056	1.334434	5.813323	3474
PV11|PV11_00108T1	PV11|PV11_00108T0	0.000000	0.000000	99.000000	762.769456	281.230544	4.600000	0.000000	1395
PV11|PV11_00110T0	PV11|PV11_01194T0	0.764212	2.232373	0.342332	889.508324	286.491676	1.351034	3.365636	1806
PV11|PV11_00111T0	PV11|PV11_03576T0	0.632169	2.069833	0.305420	468.102374	173.897626	1.202342	3.064761	1080
PV11|PV11_00112T0	PV11|PV11_09986T0	0.639491	4.368835	0.146376	1185.300512	338.699488	1.486072	4.404944	1593
PV11|PV11_00113T2	PV11|PV11_00113T1	0.021950	0.038088	0.576303	1278.993901	413.006099	0.927112	0.077669	1992
PV11|PV11_00120T0	PV11|PV11_00772T0	0.556849	1.497499	0.371853	756.284003	272.715997	1.380001	2.418449	1173
PV11|PV11_00129T0	PV11|PV11_03081T0	0.555234	3.949519	0.140583	799.355138	193.644862	0.831704	3.651461	1077
PV11|PV11_00130T0	PV11|PV11_08999T0	0.664615	2.731497	0.243315	1205.230575	423.769425	1.303081	3.606886	1707
PV11|PV11_00131T0	PV11|PV11_06578T0	0.331893	3.917684	0.084717	708.402800	185.597200	1.341157	3.228942	1101
PV11|PV11_00132T0	PV11|PV11_00622T0	1.020143	4.054433	0.251612	1328.681811	417.318189	1.098140	5.236140	2064
PV11|PV11_00136T0	PV11|PV11_00137T0	0.683625	3.926388	0.174110	646.236279	187.763721	1.317533	4.241067	894
PV11|PV11_00139T0	PV11|PV11_08338T0	0.550879	2.810955	0.195976	1970.236256	621.763744	1.303666	3.279064	2814
PV11|PV11_00144T0	PV11|PV11_01382T0	0.686294	4.323462	0.158737	971.183381	318.816619	1.017079	4.755601	1413
PV11|PV11_00147T0	PV11|PV11_04358T0	0.908167	5.166005	0.175797	1553.139498	516.860502	1.127702	5.913933	2802
PV11|PV11_00148T0	PV11|PV11_04386T0	0.731890	4.251386	0.172153	856.395906	289.604094	1.213634	4.863891	2508
PV11|PV11_00149T0	PV11|PV11_03859T0	0.134467	1.454193	0.092468	733.341793	214.658207	1.537978	1.299888	954
PV11|PV11_00152T0	PV11|PV11_10237T0	0.607156	2.441124	0.248720	662.184580	219.815420	0.928152	3.192674	942
PV11|PV11_00157T0	PV11|PV11_07199T0	0.703506	4.163552	0.168968	756.401229	257.598771	1.293742	4.747512	1095
PV11|PV11_00159T0	PV11|PV11_02129T0	0.554014	1.854086	0.298807	506.216158	177.783842	1.306149	2.675777	741
PV11|PV11_00166T0	PV11|PV11_01626T0	0.570214	2.466162	0.231215	956.102891	303.897109	1.359315	3.082484	2031
PV11|PV11_00170T2	PV11|PV11_00170T0	0.000000	0.001584	0.000010	1474.086360	631.913640	4.600000	0.001426	2160
PV11|PV11_00176T0	PV11|PV11_05736T0	0.453541	4.110662	0.110333	1043.941634	240.058366	1.425041	3.411844	1356
PV11|PV11_00179T0	PV11|PV11_01379T0	0.841904	2.192128	0.384058	2032.218525	679.781475	1.520634	3.541041	3117
PV11|PV11_00181T0	PV11|PV11_08889T0	0.808741	2.029871	0.398420	1253.740304	408.259696	1.253811	3.326111	2634
PV11|PV11_00185T0	PV11|PV11_06350T0	0.470265	3.956551	0.118857	677.531181	195.468819	1.279685	3.752583	1008
PV11|PV11_00187T0	PV11|PV11_04756T0	0.844114	4.760469	0.177317	1823.055716	570.944284	1.369852	5.334373	3840
PV11|PV11_00188T0	PV11|PV11_07633T0	0.603652	2.591090	0.232972	791.988963	243.011037	1.286912	3.210867	6111
PV11|PV11_00189T0	PV11|PV11_00482T0	0.436599	4.728832	0.092327	1699.638472	547.361528	1.579563	4.446517	2346
PV11|PV11_00194T0	PV11|PV11_07470T0	0.924289	4.207323	0.219686	1091.920066	273.079934	1.126649	4.743264	1695
PV11|PV11_00198T0	PV11|PV11_06259T0	0.830810	4.338405	0.191501	937.786640	286.213360	1.253253	4.953020	1311
PV11|PV11_00200T0	PV11|PV11_06622T1	0.707868	4.554701	0.155415	1351.047506	433.952494	1.627487	4.929223	2217
PV11|PV11_00201T1	PV11|PV11_00201T0	0.015156	0.016828	0.900650	1399.794244	421.205756	1.124409	0.046628	1842
PV11|PV11_00203T1	PV11|PV11_00203T0	0.000000	0.000000	99.000000	189.702335	86.297665	4.600000	0.000000	300
PV11|PV11_00207T1	PV11|PV11_00207T0	0.000000	0.000000	99.000000	1066.842363	466.157637	4.600000	0.000000	1533
PV11|PV11_00212T0	PV11|PV11_06112T0	0.546114	2.801092	0.194965	634.358672	217.641328	1.458596	3.366427	1383
PV11|PV11_00214T1	PV11|PV11_00214T0	0.000000	0.000000	99.000000	609.159255	269.840745	4.600000	0.000000	933
PV11|PV11_00215T0	PV11|PV11_07447T0	0.590384	2.331567	0.253214	1075.394198	319.605802	1.198448	2.967910	1557
PV11|PV11_00216T0	PV11|PV11_04033T0	0.383186	4.497565	0.085199	1379.878732	402.121268	1.041520	3.934877	1872
PV11|PV11_00217T0	PV11|PV11_05912T0	0.828475	2.292806	0.361337	1497.780510	503.219490	1.222262	3.590192	2712
PV11|PV11_00218T0	PV11|PV11_01375T0	0.521609	2.093963	0.249102	698.641135	252.358865	1.343448	2.816555	960
PV11|PV11_00219T0	PV11|PV11_08690T0	0.752234	2.274094	0.330784	938.823854	309.176146	1.691791	3.387768	1353
PV11|PV11_00220T0	PV11|PV11_09672T0	0.896825	1.763047	0.508679	734.228011	258.771989	1.005226	3.367678	1050
PV11|PV11_00221T2	PV11|PV11_00221T1	0.000000	0.000000	99.000000	821.556622	345.443378	4.600000	0.000000	1167
PV11|PV11_00226T1	PV11|PV11_00226T0	0.000000	0.000000	99.000000	1061.256518	459.743482	4.600000	0.000000	1728
PV11|PV11_00229T0	PV11|PV11_02090T0	0.507690	1.441940	0.352088	1161.033529	419.966471	2.193584	2.267575	1692
