SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Z517|Z517_00001T0	Z517|Z517_01976T0	0.047280	0.035957	1.314918	240.066839	113.933161	4.600000	0.130907	390
Z517|Z517_00006T0	Z517|Z517_00247T0	0.282462	2.121909	0.133117	749.514792	273.485208	2.122295	2.322639	1068
Z517|Z517_00007T0	Z517|Z517_03283T0	0.666512	4.192134	0.158991	893.395098	267.604902	1.305149	4.437453	1227
Z517|Z517_00008T0	Z517|Z517_05826T0	0.686000	2.676844	0.256272	297.815228	101.184772	1.880968	3.572610	438
Z517|Z517_00009T0	Z517|Z517_03332T0	0.540284	3.043915	0.177496	1585.723779	511.276221	1.532223	3.452106	2328
Z517|Z517_00010T0	Z517|Z517_03574T0	0.566970	2.837774	0.199794	757.203754	259.796246	1.598632	3.441166	1074
Z517|Z517_00011T0	Z517|Z517_04271T0	0.848672	2.219067	0.382445	1173.337096	434.662904	1.828224	3.657321	1923
Z517|Z517_00012T0	Z517|Z517_04075T0	0.647647	4.386808	0.147635	1246.085651	346.914349	1.158481	4.385820	1794
Z517|Z517_00013T0	Z517|Z517_01723T0	0.520456	5.029051	0.103490	2348.193838	816.806162	1.482821	5.052029	3699
Z517|Z517_00015T0	Z517|Z517_02995T0	0.848563	5.077362	0.167127	2803.848744	871.151256	1.213426	5.552973	7671
Z517|Z517_00016T0	Z517|Z517_12562T0	0.787228	4.681956	0.168141	1648.802111	514.197889	1.464457	5.139301	2481
Z517|Z517_00017T0	Z517|Z517_00566T0	0.746496	4.240478	0.176041	911.577590	285.422410	1.555965	4.738888	1491
Z517|Z517_00019T0	Z517|Z517_05144T0	0.609343	3.220874	0.189186	1191.682490	365.317510	1.555345	3.666252	1611
Z517|Z517_00023T0	Z517|Z517_03829T0	0.401301	3.548881	0.113078	432.495653	113.504347	1.089278	3.166892	636
Z517|Z517_00027T0	Z517|Z517_10723T0	0.574116	4.302638	0.133434	1246.913834	310.086166	1.392085	3.950022	1629
Z517|Z517_00028T0	Z517|Z517_03967T0	0.728350	3.032600	0.240173	1174.389649	370.610351	1.064378	3.843261	1617
Z517|Z517_00029T0	Z517|Z517_00927T0	0.672306	4.566874	0.147214	1409.946960	441.053040	1.177740	4.800891	2418
Z517|Z517_00035T0	Z517|Z517_08382T0	0.258123	4.143056	0.062303	1126.345848	250.654152	1.332334	2.895882	1383
Z517|Z517_00036T0	Z517|Z517_00450T0	0.540805	4.164185	0.129871	822.183878	257.816122	1.953158	4.217320	1158
Z517|Z517_00037T0	Z517|Z517_04277T0	0.673554	2.427448	0.277474	1697.706871	567.293129	1.591631	3.338506	2607
Z517|Z517_00038T0	Z517|Z517_12217T0	0.283025	4.590637	0.061653	1419.748630	455.251370	1.581178	3.986750	1899
Z517|Z517_00039T0	Z517|Z517_11838T0	0.390640	2.059296	0.189696	1174.779472	358.220528	1.217540	2.341679	1566
Z517|Z517_00040T0	Z517|Z517_02480T0	0.327587	4.425565	0.074021	1308.687277	365.312723	1.410994	3.665634	1737
Z517|Z517_00041T0	Z517|Z517_04197T0	0.294909	4.568486	0.064553	1384.997858	442.002142	1.499834	3.986419	2721
Z517|Z517_00042T0	Z517|Z517_01202T0	0.292325	4.170925	0.070086	1065.856444	260.143556	1.166568	3.159765	1335
Z517|Z517_00051T0	Z517|Z517_04480T0	0.828804	4.602531	0.180076	1409.471498	462.528502	1.462016	5.283618	3372
Z517|Z517_00052T0	Z517|Z517_01162T0	0.694242	1.999812	0.347154	1063.201755	364.798245	1.166843	3.083292	1773
Z517|Z517_00053T0	Z517|Z517_03676T0	1.111028	4.608603	0.241077	1396.711989	466.288011	1.260164	5.959296	2202
Z517|Z517_00056T0	Z517|Z517_11947T0	0.796240	1.918621	0.415006	474.141317	158.858683	1.140503	3.233743	711
Z517|Z517_00058T0	Z517|Z517_00060T0	0.934107	4.294694	0.217503	977.180765	306.819235	1.046139	5.211416	1611
Z517|Z517_00064T0	Z517|Z517_04841T0	0.762824	4.267567	0.178749	928.079860	295.920140	1.719512	4.830443	1338
Z517|Z517_00071T0	Z517|Z517_07169T0	0.396407	4.179673	0.094842	813.804442	263.195558	1.200045	3.962866	1110
Z517|Z517_00073T0	Z517|Z517_04397T0	0.728201	2.435689	0.298971	1518.305833	506.694167	1.496193	3.466342	2697
Z517|Z517_00077T0	Z517|Z517_01792T0	0.826271	4.422871	0.186818	1198.997186	364.002814	1.060826	4.991620	1884
Z517|Z517_00082T0	Z517|Z517_06299T0	0.678341	4.980815	0.136191	2621.073157	765.926843	1.219327	4.953872	4080
Z517|Z517_00085T0	Z517|Z517_11173T0	0.751567	4.045193	0.185793	3314.458481	1023.541519	1.291325	4.586073	5685
Z517|Z517_00086T0	Z517|Z517_03921T0	0.972017	1.955197	0.497145	508.981261	181.018739	1.744521	3.689851	756
Z517|Z517_00089T0	Z517|Z517_01081T0	0.613946	5.733528	0.107080	1510.900971	439.099029	1.143961	5.300306	2622
Z517|Z517_00091T0	Z517|Z517_08304T0	0.543014	2.188078	0.248169	892.438419	316.561581	1.713974	2.921260	1422
Z517|Z517_00092T0	Z517|Z517_07745T0	0.889314	2.272497	0.391338	1280.387875	426.612125	1.589834	3.704994	2451
Z517|Z517_00093T0	Z517|Z517_08758T0	0.606592	4.290985	0.141364	1161.694410	305.305590	1.096204	4.120116	1527
Z517|Z517_00096T0	Z517|Z517_04939T0	0.804934	4.133464	0.194736	820.530949	247.469051	1.072358	4.728590	2811
Z517|Z517_00102T0	Z517|Z517_05791T0	0.861808	2.542725	0.338931	1206.635783	416.364217	1.339418	3.879090	1875
Z517|Z517_00106T0	Z517|Z517_02909T0	0.675951	3.641158	0.185642	1210.351996	325.648004	1.041926	3.913818	1626
Z517|Z517_00108T0	Z517|Z517_11184T0	0.695797	4.261485	0.163276	1194.469839	293.530161	1.017511	4.197546	1584
Z517|Z517_00109T0	Z517|Z517_11604T0	0.463001	4.017120	0.115257	619.090379	211.909621	1.511266	4.107963	864
Z517|Z517_00110T0	Z517|Z517_06616T0	0.707268	4.017887	0.176030	756.873596	212.126404	1.243356	4.296014	1197
Z517|Z517_00114T0	Z517|Z517_03305T0	0.807630	4.453829	0.181334	1147.657915	379.342085	1.636733	5.140290	1953
Z517|Z517_00115T0	Z517|Z517_01958T0	0.630124	3.079839	0.204596	1205.307518	399.692482	1.175021	3.720527	1746
Z517|Z517_00118T0	Z517|Z517_01513T0	0.667676	4.180683	0.159705	1041.449796	263.550204	1.351307	4.131428	1437
Z517|Z517_00121T0	Z517|Z517_10846T0	0.798465	4.361476	0.183072	1194.607587	335.392413	1.533675	4.738546	1917
Z517|Z517_00122T0	Z517|Z517_06742T0	0.837169	4.473594	0.187136	1206.528032	389.471968	1.515812	5.173698	1776
Z517|Z517_00130T0	Z517|Z517_11283T0	0.594952	3.839204	0.154967	861.842027	167.157973	1.197016	3.365913	1167
Z517|Z517_00131T0	Z517|Z517_03694T0	0.331261	3.740166	0.088569	660.520201	146.479799	0.963155	2.850050	927
Z517|Z517_00138T0	Z517|Z517_10840T0	0.668569	4.425572	0.151069	1221.684064	365.315936	1.308178	4.600211	2124
Z517|Z517_00139T0	Z517|Z517_12490T0	0.683995	2.627165	0.260355	1185.587199	386.412801	1.228453	3.484935	1803
Z517|Z517_00142T0	Z517|Z517_07201T0	0.913949	2.898162	0.315355	1114.137972	358.862028	1.320980	4.192069	1680
Z517|Z517_00143T0	Z517|Z517_03560T0	0.954794	4.332421	0.220384	1066.352373	322.647627	1.216927	5.218126	1755
Z517|Z517_00144T0	Z517|Z517_06339T0	0.439646	3.587264	0.122557	600.535631	119.464369	1.099032	2.885721	885
Z517|Z517_00145T0	Z517|Z517_01000T0	0.841246	4.808332	0.174956	1815.431978	608.568022	1.206992	5.511661	2859
Z517|Z517_00146T0	Z517|Z517_05596T0	0.428058	4.184813	0.102288	958.994430	265.005570	1.362344	3.724274	1257
Z517|Z517_00147T0	Z517|Z517_03923T0	0.463439	2.057433	0.225251	889.938377	322.061623	1.394189	2.661019	1236
Z517|Z517_00148T0	Z517|Z517_00217T0	0.391186	3.636695	0.107566	472.396704	127.603296	1.791287	3.244247	612
