SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
B0A55|B0A55_00001-T1	B0A55|B0A55_18901-T1	0.141397	0.249847	0.565935	323.004876	111.995124	3.263094	0.507955	507
B0A55|B0A55_00002-T1	B0A55|B0A55_01639-T1	0.409760	4.421632	0.092672	1433.598326	363.401674	1.433241	3.663204	2355
B0A55|B0A55_00003-T1	B0A55|B0A55_02357-T1	0.603005	4.366122	0.138110	1195.523267	337.476733	1.381474	4.294269	1860
B0A55|B0A55_00005-T1	B0A55|B0A55_12137-T1	0.647486	4.036696	0.160400	955.486357	217.513643	1.361992	3.827878	1413
B0A55|B0A55_00011-T1	B0A55|B0A55_17954-T1	0.479777	3.856846	0.124396	710.863579	171.136421	1.022274	3.405112	1920
B0A55|B0A55_00018-T1	B0A55|B0A55_03730-T1	0.551590	4.542408	0.121431	1994.102642	426.897358	1.047973	3.765884	2832
B0A55|B0A55_00019-T1	B0A55|B0A55_16912-T1	0.609029	4.113778	0.148046	1183.941994	241.058006	1.072299	3.605714	1719
B0A55|B0A55_00024-T1	B0A55|B0A55_05572-T1	0.533735	4.170218	0.127987	853.101673	259.898327	1.414599	4.148687	1422
B0A55|B0A55_00028-T1	B0A55|B0A55_06814-T1	0.466149	3.715793	0.125451	734.203749	141.796251	1.125672	2.976487	4998
B0A55|B0A55_00032-T1	B0A55|B0A55_12627-T1	0.743861	3.038737	0.244793	1552.385429	418.614571	1.157784	3.693789	2562
B0A55|B0A55_00035-T1	B0A55|B0A55_08852-T1	0.865293	4.475405	0.193344	1535.586435	390.413565	1.478811	4.791262	2793
B0A55|B0A55_00042-T1	B0A55|B0A55_04851-T1	0.738329	4.680763	0.157737	1973.619388	513.380612	1.097412	4.656446	3033
B0A55|B0A55_00051-T1	B0A55|B0A55_13432-T1	0.632018	3.860924	0.163696	736.930444	172.069556	1.279970	3.729706	1323
B0A55|B0A55_00059-T1	B0A55|B0A55_14571-T1	0.588264	3.844039	0.153033	1025.761093	168.238907	0.961942	3.141044	1290
B0A55|B0A55_00062-T1	B0A55|B0A55_05831-T1	0.513147	2.767238	0.185436	853.038381	211.961619	1.129697	2.885301	1149
B0A55|B0A55_00113-T1	B0A55|B0A55_14626-T1	0.017117	0.120195	0.142411	1684.637714	406.362286	3.408492	0.111448	2322
B0A55|B0A55_00114-T1	B0A55|B0A55_14625-T1	0.012127	0.167833	0.072258	582.684597	203.315403	4.014400	0.157212	786
B0A55|B0A55_00116-T1	B0A55|B0A55_14623-T1	0.334043	1.702285	0.196232	911.175677	291.824323	2.508492	1.997855	1272
B0A55|B0A55_00119-T1	B0A55|B0A55_14622-T1	0.052362	0.120100	0.435987	1371.474423	434.525577	1.929013	0.205979	1884
B0A55|B0A55_00120-T1	B0A55|B0A55_13817-T1	0.810399	5.168579	0.156793	795.522163	251.477837	1.425687	5.571558	1623
B0A55|B0A55_00121-T1	B0A55|B0A55_00141-T1	0.015885	0.079647	0.199439	700.902272	253.097728	5.980994	0.098402	954
B0A55|B0A55_00122-T1	B0A55|B0A55_00142-T1	0.029428	0.151235	0.194588	1328.611729	315.388271	1.826992	0.158388	2193
B0A55|B0A55_00124-T1	B0A55|B0A55_00143-T1	0.051434	0.185836	0.276774	580.178564	169.821436	3.014180	0.245600	783
B0A55|B0A55_00126-T1	B0A55|B0A55_00145-T1	0.010507	0.108687	0.096674	767.241123	249.758877	3.386034	0.103856	1017
B0A55|B0A55_00127-T1	B0A55|B0A55_00146-T1	0.005130	0.262267	0.019559	489.259606	89.740394	1.989893	0.134952	681
B0A55|B0A55_00128-T1	B0A55|B0A55_00147-T1	0.027979	0.242882	0.115196	949.253095	379.746905	6.654392	0.268156	1329
B0A55|B0A55_00129-T1	B0A55|B0A55_00148-T1	0.018619	0.098573	0.188888	1169.650088	432.349912	3.438776	0.120592	1602
B0A55|B0A55_00130-T1	B0A55|B0A55_00149-T1	0.020100	0.089525	0.224518	504.296233	167.703767	2.806511	0.112277	975
B0A55|B0A55_00131-T1	B0A55|B0A55_00150-T1	0.008577	0.111856	0.076678	1407.703585	410.296415	3.620138	0.095656	1818
B0A55|B0A55_00132-T1	B0A55|B0A55_00151-T1	0.011018	0.136448	0.080745	365.820554	99.179446	4.581361	0.113312	465
B0A55|B0A55_00133-T1	B0A55|B0A55_00152-T1	0.014051	0.187646	0.074878	4472.299018	1128.700982	2.016625	0.147099	5616
B0A55|B0A55_00135-T1	B0A55|B0A55_00154-T1	0.001158	0.211078	0.005484	1729.023858	289.976142	2.199272	0.093921	2019
B0A55|B0A55_00136-T1	B0A55|B0A55_00155-T1	0.000786	0.118090	0.006660	1272.215885	197.784115	5.385116	0.049708	1473
B0A55|B0A55_00137-T1	B0A55|B0A55_00156-T1	0.024526	0.048726	0.503341	1908.530408	683.469592	2.975221	0.092721	2601
B0A55|B0A55_00138-T1	B0A55|B0A55_00157-T1	0.004020	0.078817	0.051010	1247.084829	282.915171	2.035813	0.053554	3507
B0A55|B0A55_00153-T1	B0A55|B0A55_00134-T1	0.039067	0.121186	0.322376	219.014406	50.985594	1.801765	0.163723	1050
B0A55|B0A55_00158-T1	B0A55|B0A55_07784-T1	0.050212	0.100759	0.498336	350.331762	108.668238	1.811870	0.186537	666
B0A55|B0A55_00159-T1	B0A55|B0A55_07785-T1	0.022796	0.230089	0.099076	712.717592	199.282408	2.100579	0.204276	912
B0A55|B0A55_00160-T1	B0A55|B0A55_07786-T1	0.008383	0.039346	0.213062	1560.687001	473.312999	3.281650	0.046765	4464
B0A55|B0A55_00293-T1	B0A55|B0A55_15544-T1	0.200886	0.584320	0.343794	685.669694	163.330306	1.396025	0.823953	927
B0A55|B0A55_00294-T1	B0A55|B0A55_15545-T1	0.005481	0.160607	0.034125	1282.179952	313.820048	4.187342	0.107949	1602
B0A55|B0A55_00295-T1	B0A55|B0A55_15546-T1	0.066583	0.144595	0.460477	326.379489	93.620511	3.285091	0.251916	498
B0A55|B0A55_00296-T1	B0A55|B0A55_15547-T1	0.023832	0.112142	0.212514	792.063862	239.936138	22.301350	0.133091	1047
B0A55|B0A55_00298-T1	B0A55|B0A55_00461-T1	0.030157	0.108619	0.277645	1303.078728	484.921272	2.529405	0.154310	1800
B0A55|B0A55_00299-T1	B0A55|B0A55_00460-T1	0.022185	0.164296	0.135033	663.495212	155.504788	2.204715	0.147505	825
B0A55|B0A55_00300-T1	B0A55|B0A55_00459-T1	0.038915	0.130983	0.297099	3576.527311	1076.472689	3.520831	0.180644	4692
B0A55|B0A55_00301-T1	B0A55|B0A55_00458-T1	0.007330	0.158876	0.046137	1713.842837	476.157163	2.196299	0.120839	2193
B0A55|B0A55_00302-T1	B0A55|B0A55_00457-T1	0.050343	0.303979	0.165613	1822.951885	484.048115	1.938361	0.310680	7680
B0A55|B0A55_00304-T1	B0A55|B0A55_00456-T1	0.035427	0.086751	0.408376	667.029408	235.970592	7.608560	0.146518	1767
B0A55|B0A55_00305-T1	B0A55|B0A55_00455-T1	0.012913	0.104970	0.123019	312.975817	83.024183	1.113635	0.096641	396
B0A55|B0A55_00306-T1	B0A55|B0A55_00453-T1	0.023128	0.153010	0.151153	615.801627	227.198373	5.076991	0.174398	843
B0A55|B0A55_00307-T1	B0A55|B0A55_00452-T1	0.017731	0.072994	0.242915	1228.193533	454.806467	3.449079	0.097995	1731
B0A55|B0A55_00308-T1	B0A55|B0A55_00451-T1	0.001573	0.073685	0.021352	636.273201	200.726799	3.196503	0.056601	837
B0A55|B0A55_00309-T1	B0A55|B0A55_00450-T1	0.009196	0.112301	0.081886	1313.570611	393.429389	4.275896	0.098879	1707
B0A55|B0A55_00310-T1	B0A55|B0A55_00449-T1	0.015720	0.046949	0.334825	900.086410	266.913590	2.430975	0.068587	1170
B0A55|B0A55_00311-T1	B0A55|B0A55_00448-T1	0.019230	0.187499	0.102561	896.103750	222.896250	3.645655	0.158244	1290
B0A55|B0A55_00312-T1	B0A55|B0A55_00447-T1	0.008450	0.273513	0.030896	1309.378653	331.621347	1.514332	0.186047	1641
B0A55|B0A55_00313-T1	B0A55|B0A55_00446-T1	0.006737	0.091285	0.073797	671.047568	123.952432	3.930812	0.059757	795
B0A55|B0A55_00314-T1	B0A55|B0A55_00445-T1	0.016014	0.183476	0.087281	378.834810	71.165190	1.344111	0.127491	471
B0A55|B0A55_00315-T1	B0A55|B0A55_14649-T1	0.393118	3.773775	0.104171	560.806866	153.193134	1.229920	3.355377	1122
B0A55|B0A55_00316-T1	B0A55|B0A55_00443-T1	0.099586	0.156392	0.636771	462.072019	134.927981	2.704405	0.337273	834
B0A55|B0A55_00317-T1	B0A55|B0A55_00442-T1	0.003295	0.189929	0.017350	608.306510	189.693490	2.141194	0.142980	1041
B0A55|B0A55_00319-T1	B0A55|B0A55_00440-T1	0.021174	0.047634	0.444517	814.800998	307.199002	11.970128	0.085255	3015
B0A55|B0A55_00321-T1	B0A55|B0A55_00439-T1	0.010191	0.275705	0.036962	1087.559564	241.440436	3.833320	0.175280	1329
B0A55|B0A55_00322-T1	B0A55|B0A55_00438-T1	0.017873	0.148516	0.120346	3431.771735	1164.228265	6.575974	0.152901	4650
B0A55|B0A55_00323-T1	B0A55|B0A55_00437-T1	0.015738	0.094343	0.166815	900.538922	362.461078	5.585623	0.114889	1266
B0A55|B0A55_00324-T1	B0A55|B0A55_00436-T1	0.311363	0.405669	0.767531	326.063402	111.936598	2.373222	1.006393	1029
B0A55|B0A55_00326-T1	B0A55|B0A55_00435-T1	0.062431	0.181240	0.344465	985.348446	373.651554	4.530404	0.285290	1497
B0A55|B0A55_00327-T1	B0A55|B0A55_00434-T1	0.037386	0.058157	0.642834	234.027837	80.972163	5.382766	0.128175	315
B0A55|B0A55_00328-T1	B0A55|B0A55_00433-T1	0.019560	0.181577	0.107725	2472.423131	791.576869	5.140555	0.176557	3264
B0A55|B0A55_00329-T1	B0A55|B0A55_00432-T1	0.058757	0.123657	0.475161	558.830611	191.169389	3.691054	0.225899	1008
B0A55|B0A55_00330-T1	B0A55|B0A55_00431-T1	0.010842	0.219964	0.049289	1765.348164	505.651836	2.249554	0.172212	2289
B0A55|B0A55_00331-T1	B0A55|B0A55_00430-T1	0.010746	0.333072	0.032263	468.911958	98.088042	3.483672	0.199520	573
B0A55|B0A55_00332-T1	B0A55|B0A55_00429-T1	0.003829	0.216860	0.017658	785.459401	126.540599	5.639290	0.100163	912
B0A55|B0A55_00333-T1	B0A55|B0A55_00428-T1	0.016225	0.203892	0.079577	810.147939	260.852061	2.687186	0.185799	1071
B0A55|B0A55_00334-T1	B0A55|B0A55_00427-T1	0.031277	0.079481	0.393514	588.048599	215.951401	3.460044	0.132673	855
B0A55|B0A55_00335-T1	B0A55|B0A55_00426-T1	0.003766	0.081510	0.046201	266.211341	51.788659	4.600000	0.049281	318
B0A55|B0A55_00336-T1	B0A55|B0A55_00425-T1	0.008188	0.123896	0.066091	1228.134071	385.865929	5.147134	0.107553	1614
