SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
B0A50|B0A50_00001-T1	B0A50|B0A50_07828-T1	0.778735	3.824918	0.203595	678.996005	164.003995	1.698465	4.114091	1230
B0A50|B0A50_00004-T1	B0A50|B0A50_00933-T1	0.500835	2.264364	0.221181	834.429292	275.570708	1.316047	2.815956	1173
B0A50|B0A50_00005-T1	B0A50|B0A50_01384-T1	0.453594	3.553814	0.127636	1309.521073	397.478927	1.600347	3.526463	1767
B0A50|B0A50_00008-T1	B0A50|B0A50_07165-T1	0.514622	3.668485	0.140282	655.871684	133.128316	1.062070	3.140324	1278
B0A50|B0A50_00016-T1	B0A50|B0A50_05934-T1	0.989230	2.734890	0.361707	1047.420848	329.579152	1.486354	4.221139	1611
B0A50|B0A50_00017-T1	B0A50|B0A50_02160-T1	0.617014	4.506049	0.136930	1594.304244	406.695756	1.211542	4.222338	3378
B0A50|B0A50_00020-T1	B0A50|B0A50_01377-T1	0.506478	4.693671	0.107907	1838.707279	522.292721	1.222176	4.298266	2934
B0A50|B0A50_00028-T1	B0A50|B0A50_00030-T1	0.695599	1.603364	0.433837	806.297030	345.702970	1.956755	2.904030	1323
B0A50|B0A50_00029-T1	B0A50|B0A50_03929-T1	0.447388	4.416810	0.101292	1348.927212	361.072788	1.043411	3.856637	1827
B0A50|B0A50_00042-T1	B0A50|B0A50_08796-T1	0.305536	4.371489	0.069893	1265.099781	339.900219	1.308018	3.499820	1923
B0A50|B0A50_00043-T1	B0A50|B0A50_04381-T1	0.459619	4.598312	0.099954	1412.066019	459.933981	1.403505	4.429380	1905
B0A50|B0A50_00044-T1	B0A50|B0A50_01954-T1	0.753613	4.733365	0.159213	1843.320414	550.679586	1.080856	5.007164	2799
B0A50|B0A50_00045-T1	B0A50|B0A50_01735-T1	0.780002	2.469953	0.315796	1289.843991	411.156009	1.409678	3.565463	1899
B0A50|B0A50_00048-T1	B0A50|B0A50_07016-T1	0.566899	3.923314	0.144495	674.004238	186.995762	1.147510	3.887581	1110
B0A50|B0A50_00058-T1	B0A50|B0A50_07313-T1	0.364159	3.875923	0.093954	691.454681	175.545319	1.293528	3.225603	903
B0A50|B0A50_00059-T1	B0A50|B0A50_06270-T1	0.420020	3.570824	0.117625	621.125733	116.874267	1.342113	2.757002	768
B0A50|B0A50_00061-T1	B0A50|B0A50_05255-T1	0.704542	3.843257	0.183319	500.936428	168.063572	0.992897	4.479112	2805
B0A50|B0A50_00062-T1	B0A50|B0A50_02858-T1	0.481928	4.061257	0.118665	993.245388	224.754612	1.014967	3.427238	1266
B0A50|B0A50_00067-T1	B0A50|B0A50_06145-T1	0.757443	4.676145	0.161980	1619.770640	510.229360	1.566950	5.088436	3681
B0A50|B0A50_00070-T1	B0A50|B0A50_06001-T1	0.620177	4.570407	0.135694	1587.864550	443.135450	1.394858	4.446183	2295
B0A50|B0A50_00071-T1	B0A50|B0A50_07263-T1	0.737541	4.326072	0.170488	1072.071879	319.928121	1.243944	4.686917	1599
B0A50|B0A50_00072-T1	B0A50|B0A50_08312-T1	0.593946	6.427424	0.092408	897.503854	272.496146	1.592406	5.857737	1917
B0A50|B0A50_00079-T1	B0A50|B0A50_07272-T1	0.691399	3.139069	0.220256	1150.088438	373.911562	1.300618	3.875795	1935
B0A50|B0A50_00084-T1	B0A50|B0A50_02497-T1	0.592108	4.413907	0.134146	1518.322108	359.677892	1.296901	3.972197	2061
B0A50|B0A50_00087-T1	B0A50|B0A50_05288-T1	0.769641	4.795870	0.160480	2263.459820	598.540180	1.141259	4.834982	4599
B0A50|B0A50_00097-T1	B0A50|B0A50_08050-T1	0.673465	4.267386	0.157817	1192.151312	295.848688	1.272736	4.164057	1512
