SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
B0A52|B0A52_00001	B0A52|B0A52_06933	0.360129	3.977617	0.090539	864.995247	269.004753	1.461932	3.654781	1314
B0A52|B0A52_00002	B0A52|B0A52_01279	0.632804	3.084718	0.205142	1315.439629	448.560371	1.582555	3.768872	2217
B0A52|B0A52_00003	B0A52|B0A52_05929	0.623093	2.379581	0.261850	624.298189	215.701811	1.221865	3.222413	1332
B0A52|B0A52_00004	B0A52|B0A52_07311	0.379849	1.840859	0.206343	1292.353640	510.646360	1.569800	2.380910	1851
B0A52|B0A52_00005	B0A52|B0A52_01278	0.362738	4.039641	0.089795	669.630702	218.369298	1.520490	3.800792	1203
B0A52|B0A52_00006	B0A52|B0A52_01131	0.179391	3.743331	0.047923	437.900640	147.099360	1.627899	3.226652	861
B0A52|B0A52_00009	B0A52|B0A52_03780	0.666606	2.160567	0.308533	627.872610	224.127390	1.884523	3.178824	1044
B0A52|B0A52_00010	B0A52|B0A52_02134	0.825756	1.043723	0.791164	676.705707	388.294293	1.907430	2.715678	1485
B0A52|B0A52_00014	B0A52|B0A52_03779	0.455300	4.596539	0.099053	1404.151939	458.848061	1.315493	4.425802	1899
B0A52|B0A52_00017	B0A52|B0A52_07495	0.849001	2.335625	0.363501	1055.033464	336.966536	1.241397	3.626622	1557
B0A52|B0A52_00019	B0A52|B0A52_08920	0.596907	4.137771	0.144258	666.105718	248.894282	1.462373	4.680231	3192
B0A52|B0A52_00023	B0A52|B0A52_03544	0.832968	3.162427	0.263395	1319.780486	429.219514	1.477925	4.213912	4341
B0A52|B0A52_00026	B0A52|B0A52_07171	0.914439	4.682711	0.195280	1711.284305	514.715695	1.405128	5.357317	2913
B0A52|B0A52_00027	B0A52|B0A52_00234	0.211118	4.022178	0.052488	842.656417	213.343583	0.917313	2.943198	1062
B0A52|B0A52_00028	B0A52|B0A52_06888	0.638233	4.356699	0.146495	1004.736867	333.263133	1.435768	4.693238	1581
B0A52|B0A52_00031	B0A52|B0A52_02715	0.458448	2.505006	0.183013	625.089353	238.910647	1.605128	3.073068	963
B0A52|B0A52_00036	B0A52|B0A52_05462	0.842332	3.699216	0.227705	2012.173521	684.826479	1.396308	4.703269	4536
B0A52|B0A52_00040	B0A52|B0A52_07614	0.830690	2.375880	0.349635	1546.061585	478.938415	1.387568	3.588442	2535
B0A52|B0A52_00041	B0A52|B0A52_04837	0.553319	2.066331	0.267779	564.940118	221.059882	1.766652	2.936547	852
B0A52|B0A52_00046	B0A52|B0A52_03256	0.819317	2.491470	0.328849	1426.660306	394.339694	1.598480	3.544270	2577
B0A52|B0A52_00056	B0A52|B0A52_07793	0.695187	4.284124	0.162270	999.474456	302.525544	1.552792	4.587278	1746
B0A52|B0A52_00062	B0A52|B0A52_06418	0.652155	4.984104	0.130847	2299.706623	769.293377	1.536346	5.214079	3504
B0A52|B0A52_00065	B0A52|B0A52_04751	0.643249	2.132901	0.301584	938.359868	312.640132	1.581493	3.046593	1479
