SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
B0A49|B0A49_00001-T1	B0A49|B0A49_12777-T1	0.000000	0.000000	99.000000	226.914985	73.085015	4.600000	0.000000	1524
B0A49|B0A49_00002-T1	B0A49|B0A49_12778-T1	0.000000	0.000000	99.000000	662.322295	189.677705	4.600000	0.000000	1212
B0A49|B0A49_00003-T1	B0A49|B0A49_00656-T1	0.849358	1.801559	0.471457	2133.411819	773.588181	1.464829	3.308251	4023
B0A49|B0A49_00005-T1	B0A49|B0A49_07096-T1	0.536660	2.095359	0.256118	957.135123	302.864877	1.812325	2.733968	1401
B0A49|B0A49_00006-T1	B0A49|B0A49_02849-T1	0.643994	3.385891	0.190199	355.666106	91.333894	1.474858	3.612708	741
B0A49|B0A49_00010-T1	B0A49|B0A49_05682-T1	0.779813	4.033353	0.193341	791.453909	216.546091	1.317581	4.436288	1341
B0A49|B0A49_00011-T1	B0A49|B0A49_06317-T1	0.989048	2.377211	0.416054	3171.034135	929.965865	1.472663	3.911508	4971
B0A49|B0A49_00015-T1	B0A49|B0A49_12049-T1	0.693208	4.511684	0.153647	1453.237135	409.762865	1.049334	4.599222	2280
B0A49|B0A49_00018-T1	B0A49|B0A49_05680-T1	0.763880	2.373788	0.321798	3020.941306	1020.058694	1.636803	3.510794	5046
B0A49|B0A49_00020-T1	B0A49|B0A49_03177-T1	0.851064	3.961114	0.214855	685.338141	196.661859	1.737694	4.633561	978
B0A49|B0A49_00025-T1	B0A49|B0A49_04396-T1	0.573354	4.363347	0.131402	1673.769864	336.230136	1.453413	3.622016	2709
B0A49|B0A49_00026-T1	B0A49|B0A49_02488-T1	0.498261	99.000000	0.005033	426.090169	59.909831	0.931816	37.922083	747
B0A49|B0A49_00036-T1	B0A49|B0A49_04501-T1	0.443274	4.574246	0.096907	1480.590343	445.409657	1.351182	4.195827	2157
B0A49|B0A49_00040-T1	B0A49|B0A49_03059-T1	0.851188	4.011185	0.212204	725.760534	210.239466	1.452949	4.682911	1074
B0A49|B0A49_00047-T1	B0A49|B0A49_03536-T1	0.834890	2.990702	0.279162	2297.187336	774.812664	1.282541	4.135871	3807
B0A49|B0A49_00049-T1	B0A49|B0A49_06248-T1	0.557278	3.888642	0.143309	628.452245	178.547755	1.280564	3.883015	1101
B0A49|B0A49_00059-T1	B0A49|B0A49_08543-T1	0.392199	4.357660	0.090002	1277.309860	333.690140	1.203024	3.640723	1698
B0A49|B0A49_00062-T1	B0A49|B0A49_09003-T1	0.604844	4.621885	0.130865	1619.380664	474.619336	1.449597	4.546002	2523
B0A49|B0A49_00063-T1	B0A49|B0A49_03650-T1	0.547783	1.915111	0.286032	851.630071	240.369929	1.388480	2.546274	1659
B0A49|B0A49_00064-T1	B0A49|B0A49_00230-T1	0.003467	0.029483	0.117580	289.234097	103.765903	4.600000	0.031008	1635
B0A49|B0A49_00065-T1	B0A49|B0A49_04235-T1	0.858761	4.439864	0.193421	1409.655857	372.344143	1.262485	4.821069	3483
B0A49|B0A49_00066-T1	B0A49|B0A49_01808-T1	0.684312	3.796994	0.180225	789.989909	158.010091	1.472622	3.609377	1167
B0A49|B0A49_00067-T1	B0A49|B0A49_05053-T1	0.496039	2.546136	0.194820	2525.290566	822.709434	1.739223	2.999437	4533
B0A49|B0A49_00068-T1	B0A49|B0A49_08228-T1	0.724166	3.827799	0.189186	684.364890	164.635110	1.462618	3.978035	1059
B0A49|B0A49_00069-T1	B0A49|B0A49_06597-T1	0.606540	3.531835	0.171735	486.046298	110.953702	1.324531	3.450636	666
B0A49|B0A49_00076-T1	B0A49|B0A49_11254-T1	0.653450	3.475952	0.187992	700.133791	157.866209	1.062519	3.518313	975
B0A49|B0A49_00080-T1	B0A49|B0A49_02645-T1	0.936657	3.739925	0.250448	907.429107	262.570893	1.086180	4.697295	1470
B0A49|B0A49_00082-T1	B0A49|B0A49_10720-T1	0.634313	4.089477	0.155108	960.627371	233.372629	1.788500	3.928920	1593
B0A49|B0A49_00090-T1	B0A49|B0A49_05597-T1	0.670202	2.126946	0.315101	1298.832207	444.167793	1.290626	3.124270	3210
B0A49|B0A49_00100-T1	B0A49|B0A49_09952-T1	0.546353	4.344729	0.125751	1094.013721	327.986279	1.897656	4.267362	1584
B0A49|B0A49_00103-T1	B0A49|B0A49_00811-T1	0.841718	4.551776	0.184921	1790.736521	432.263479	1.087765	4.689423	2859
B0A49|B0A49_00104-T1	B0A49|B0A49_02819-T1	0.830291	4.528545	0.183346	1686.920514	419.079486	1.291202	4.698653	2907
B0A49|B0A49_00107-T1	B0A49|B0A49_12578-T1	0.000000	0.000000	99.000000	682.236484	127.763516	4.600000	0.000000	810
B0A49|B0A49_00423-T1	B0A49|B0A49_03671-T1	0.391714	4.185503	0.093588	904.750664	265.249336	1.031753	3.755398	1278
B0A49|B0A49_00425-T1	B0A49|B0A49_13420-T1	0.005872	0.022206	0.264436	1367.948118	504.051882	2.259030	0.030810	2607
B0A49|B0A49_00427-T1	B0A49|B0A49_12690-T1	0.010804	0.094840	0.113918	1308.087904	446.912096	20.471551	0.096612	1755
B0A49|B0A49_00428-T1	B0A49|B0A49_12689-T1	0.021968	0.062966	0.348882	510.170832	149.829168	0.632681	0.093825	660
B0A49|B0A49_00429-T1	B0A49|B0A49_12688-T1	0.024136	0.044233	0.545666	1013.633057	375.366943	6.702649	0.088702	1389
B0A49|B0A49_00433-T1	B0A49|B0A49_10553-T1	0.409260	3.646390	0.112237	464.736434	129.263566	1.224141	3.341129	1677
B0A49|B0A49_00436-T1	B0A49|B0A49_08384-T1	0.074027	1.462183	0.050628	1142.233350	423.766650	4.418683	1.349004	1566
B0A49|B0A49_00439-T1	B0A49|B0A49_02224-T1	0.471408	3.892340	0.121112	717.569713	179.430287	1.184498	3.467130	930
B0A49|B0A49_00441-T1	B0A49|B0A49_04188-T1	0.006570	0.053060	0.123828	458.860599	177.139401	6.653904	0.058556	3663
B0A49|B0A49_00404-T1	B0A49|B0A49_02088-T1	0.054734	0.055570	0.984960	435.825795	131.174205	1.712456	0.164781	966
B0A49|B0A49_00405-T1	B0A49|B0A49_12973-T1	0.256055	5.203311	0.049210	797.895569	222.104431	1.903629	3.999952	1047
B0A49|B0A49_00406-T1	B0A49|B0A49_04067-T1	0.792737	2.699581	0.293652	886.614455	271.385545	1.408286	3.718860	1506
B0A49|B0A49_00410-T1	B0A49|B0A49_08538-T1	0.605439	5.778054	0.104783	1107.734983	341.265017	1.557148	5.471044	1599
B0A49|B0A49_00418-T1	B0A49|B0A49_08059-T1	0.974209	3.369707	0.289108	1807.081871	538.918129	1.305954	4.573492	3000
B0A49|B0A49_00419-T1	B0A49|B0A49_02734-T1	0.150931	0.154372	0.977709	597.897895	197.102105	1.666839	0.455351	1014
B0A49|B0A49_00420-T1	B0A49|B0A49_02733-T1	0.027053	0.028487	0.949657	340.124535	178.875465	11.872970	0.082640	567
B0A49|B0A49_00421-T1	B0A49|B0A49_02732-T1	0.182451	0.312924	0.583053	655.849342	244.150658	1.713966	0.653536	3117
B0A49|B0A49_00108-T1	B0A49|B0A49_04062-T1	0.000000	0.000000	99.000000	240.425775	98.574225	4.600000	0.000000	4323
B0A49|B0A49_00117-T1	B0A49|B0A49_11870-T1	0.036454	0.092801	0.392824	366.855642	128.144358	3.416759	0.153124	612
B0A49|B0A49_00118-T1	B0A49|B0A49_11869-T1	0.013769	0.041696	0.330215	1357.025358	436.974642	4.218770	0.061714	1974
B0A49|B0A49_00119-T1	B0A49|B0A49_11868-T1	0.055114	0.129316	0.426201	762.227550	248.772450	1.380096	0.220119	1119
B0A49|B0A49_00120-T1	B0A49|B0A49_06780-T1	0.963339	4.327138	0.222627	1149.616976	320.383024	1.489382	5.089412	1755
B0A49|B0A49_00128-T1	B0A49|B0A49_00129-T1	0.690087	5.196024	0.132811	3737.515718	1020.484282	1.019561	4.969530	5556
B0A49|B0A49_00134-T1	B0A49|B0A49_00484-T1	0.001661	0.012894	0.128822	602.777469	78.222531	4.600000	0.008854	2127
B0A49|B0A49_00181-T1	B0A49|B0A49_04240-T1	0.006331	0.046748	0.135423	1110.730836	311.269164	4.799773	0.045533	1422
B0A49|B0A49_00182-T1	B0A49|B0A49_04239-T1	0.005321	0.105826	0.050279	943.306803	85.693197	6.002648	0.041072	1029
B0A49|B0A49_00183-T1	B0A49|B0A49_04238-T1	0.008059	0.100422	0.080248	749.064855	192.935145	6.316875	0.080928	942
B0A49|B0A49_00184-T1	B0A49|B0A49_03472-T1	0.019313	1.447676	0.013341	157.735331	46.264669	4.600000	1.029745	204
B0A49|B0A49_00185-T1	B0A49|B0A49_02518-T1	0.914559	4.666240	0.195995	1839.464641	503.535359	1.211960	5.162504	2760
B0A49|B0A49_00188-T1	B0A49|B0A49_00654-T1	0.027190	0.073813	0.368362	430.762203	166.237797	4.930700	0.120517	1311
B0A49|B0A49_00189-T1	B0A49|B0A49_00655-T1	0.017001	0.048035	0.353936	416.482318	129.517682	1.752822	0.073088	669
B0A49|B0A49_00191-T1	B0A49|B0A49_00657-T1	0.012594	0.069251	0.181863	720.745007	230.254993	2.378649	0.078935	951
B0A49|B0A49_00192-T1	B0A49|B0A49_00658-T1	0.044643	0.064568	0.691416	528.675042	248.324958	5.813751	0.153032	834
B0A49|B0A49_00193-T1	B0A49|B0A49_00659-T1	0.042263	0.063565	0.664878	622.263365	256.736635	4.530890	0.145455	879
B0A49|B0A49_00194-T1	B0A49|B0A49_00660-T1	0.020175	0.058723	0.343562	479.117421	168.882579	13.651214	0.090665	648
B0A49|B0A49_00196-T1	B0A49|B0A49_00662-T1	0.037393	0.035990	1.038995	578.738105	258.261895	10.367647	0.110880	837
B0A49|B0A49_00197-T1	B0A49|B0A49_00663-T1	0.032847	0.050698	0.647903	844.297930	370.702070	7.750895	0.114880	1215
B0A49|B0A49_00198-T1	B0A49|B0A49_00664-T1	0.012667	0.043547	0.290868	638.005780	285.994220	10.462949	0.066674	942
B0A49|B0A49_00199-T1	B0A49|B0A49_00665-T1	0.011313	0.064132	0.176404	713.030811	228.969189	2.864190	0.072455	1752
B0A49|B0A49_00200-T1	B0A49|B0A49_00666-T1	0.026562	0.066029	0.402277	1437.977618	569.022382	4.074804	0.113254	2373
B0A49|B0A49_00201-T1	B0A49|B0A49_00667-T1	0.029051	0.047413	0.612722	351.979968	176.020032	8.126776	0.105517	729
B0A49|B0A49_00202-T1	B0A49|B0A49_00668-T1	0.004045	0.042600	0.094949	1239.749058	341.250942	5.036600	0.037100	1581
