SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
A1O3|A1O3_00006T0	A1O3|A1O3_05764T0	1.005508	3.163417	0.317855	985.970005	349.029995	1.354624	4.709052	1479
A1O3|A1O3_00007T0	A1O3|A1O3_06713T0	0.344671	5.160099	0.066795	3587.245007	972.754993	1.118682	4.115744	4782
A1O3|A1O3_00009T0	A1O3|A1O3_05170T0	0.835435	1.872699	0.446113	621.839881	215.160119	1.591346	3.306227	1179
A1O3|A1O3_00013T0	A1O3|A1O3_02543T0	0.622332	4.294030	0.144930	1022.452261	306.547739	0.975460	4.407742	1461
A1O3|A1O3_00016T0	A1O3|A1O3_00384T0	0.224688	3.892053	0.057730	825.638268	179.361732	1.175003	2.637602	1059
A1O3|A1O3_00017T0	A1O3|A1O3_02230T0	0.505683	4.362939	0.115904	1388.952596	336.047404	1.235146	3.771346	1827
A1O3|A1O3_00018T0	A1O3|A1O3_08401T0	0.554279	4.009287	0.138249	714.292075	209.707925	1.247937	4.015248	1074
A1O3|A1O3_00019T0	A1O3|A1O3_03252T0	0.619751	4.290421	0.144450	1068.923842	305.076158	1.529675	4.304306	1449
A1O3|A1O3_00020T0	A1O3|A1O3_00383T0	0.563471	4.587697	0.122822	1484.530173	453.469827	1.223549	4.515281	2226
A1O3|A1O3_00026T0	A1O3|A1O3_01229T0	0.556554	4.320620	0.128813	1308.389384	317.610616	1.128537	3.875394	1671
A1O3|A1O3_00027T0	A1O3|A1O3_01159T0	0.796821	2.706588	0.294400	564.325937	176.674063	1.202059	3.756480	837
A1O3|A1O3_00028T0	A1O3|A1O3_01508T0	0.366148	3.847075	0.095176	653.078666	168.921334	1.289767	3.244439	855
A1O3|A1O3_00029T0	A1O3|A1O3_01355T0	0.278736	4.231972	0.065864	1094.796265	282.203735	0.927566	3.266747	1470
A1O3|A1O3_00032T0	A1O3|A1O3_03242T0	0.307975	2.495220	0.123426	1210.081907	385.918093	2.115524	2.510574	1800
A1O3|A1O3_00033T0	A1O3|A1O3_02375T0	0.899119	2.290017	0.392626	1230.310439	440.689561	1.356466	3.797813	2697
A1O3|A1O3_00034T0	A1O3|A1O3_03237T0	0.179228	3.087729	0.058045	1481.621779	507.378221	2.131650	2.763491	2082
A1O3|A1O3_00035T0	A1O3|A1O3_09316T0	0.819078	4.709365	0.173925	1776.662984	533.337016	1.591564	5.151823	2568
A1O3|A1O3_00038T0	A1O3|A1O3_09608T0	0.622192	4.339824	0.143368	958.151803	325.848197	1.144230	4.696912	1551
A1O3|A1O3_00039T0	A1O3|A1O3_07906T0	0.811099	1.996346	0.406292	622.318132	208.681868	1.101464	3.326219	954
A1O3|A1O3_00044T0	A1O3|A1O3_01065T0	0.702776	4.069759	0.172683	777.683159	227.316841	1.163638	4.393021	1206
A1O3|A1O3_00051T0	A1O3|A1O3_01284T0	0.863217	4.443151	0.194280	1639.020244	373.979756	1.167290	4.584917	2463
A1O3|A1O3_00056T0	A1O3|A1O3_05658T0	0.891690	4.237649	0.210421	954.652207	284.347793	1.034733	4.978742	1662
A1O3|A1O3_00058T0	A1O3|A1O3_03971T0	0.983895	1.608180	0.611806	1150.939590	358.060410	1.411953	3.396082	1710
A1O3|A1O3_00069T0	A1O3|A1O3_02400T0	0.779597	3.802537	0.205020	1696.809459	490.190541	1.542679	4.371461	2574
A1O3|A1O3_00079T0	A1O3|A1O3_03519T0	0.631501	4.381306	0.144135	1161.621646	344.378354	1.525690	4.466917	1656
A1O3|A1O3_00083T0	A1O3|A1O3_02358T0	0.595454	4.106467	0.145004	790.280522	238.719478	1.122835	4.229940	2115
