SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
PV08|PV08_00001T0	PV08|PV08_01631T0	0.104737	0.574307	0.182372	252.182987	77.817013	3.458198	0.646399	735
PV08|PV08_00003T0	PV08|PV08_05307T0	0.954901	2.296929	0.415730	634.782968	223.217032	1.549041	3.912128	891
PV08|PV08_00004T0	PV08|PV08_10587T0	0.951247	3.172169	0.299873	1288.756076	421.243924	1.317210	4.495055	2136
PV08|PV08_00005T0	PV08|PV08_11932T0	0.589510	2.581562	0.228354	360.087456	104.912544	1.784827	3.116861	594
PV08|PV08_00006T0	PV08|PV08_03253T0	0.815373	4.715218	0.172924	1559.484377	537.515623	1.412644	5.445015	2259
PV08|PV08_00007T0	PV08|PV08_05501T0	0.344784	4.056290	0.085000	742.729045	223.270955	1.395819	3.607867	981
PV08|PV08_00008T0	PV08|PV08_04743T0	0.402161	4.483701	0.089694	1126.244131	394.755869	1.531217	4.384416	1968
PV08|PV08_00009T0	PV08|PV08_09514T0	0.542960	4.416869	0.122929	1102.898879	361.101121	1.411881	4.495423	1653
PV08|PV08_00011T0	PV08|PV08_04736T0	0.681521	1.947209	0.349999	551.422459	189.577541	1.811591	3.016005	771
PV08|PV08_00012T0	PV08|PV08_09970T0	0.733490	4.649529	0.157756	1466.560019	492.439981	1.324655	5.153632	2337
PV08|PV08_00013T0	PV08|PV08_06659T0	0.617477	4.083053	0.151229	788.617761	231.382239	1.449321	4.210880	1074
PV08|PV08_00014T0	PV08|PV08_04741T0	0.342794	4.402940	0.077856	1037.543083	354.456917	1.446700	4.129991	1509
PV08|PV08_00015T0	PV08|PV08_11596T0	0.576607	4.354931	0.132403	1058.115906	330.884094	1.600187	4.430010	1521
PV08|PV08_00016T0	PV08|PV08_05640T0	0.743321	4.081478	0.182120	780.103322	230.896678	1.317165	4.517112	1341
PV08|PV08_00018T0	PV08|PV08_11448T0	0.805805	3.766641	0.213932	1260.613829	446.386171	1.322274	4.740221	2190
PV08|PV08_00019T0	PV08|PV08_04742T0	0.673013	4.557110	0.147684	1310.651298	435.348702	1.221441	4.924430	1884
PV08|PV08_00020T0	PV08|PV08_03395T0	1.009931	1.996772	0.505782	1210.954852	484.045148	1.652932	3.875237	1794
