SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
B0A54|B0A54_00001-T1	B0A54|B0A54_16666-T1	0.004736	0.405913	0.011667	847.332984	211.667016	2.328351	0.254763	1062
B0A54|B0A54_00003-T1	B0A54|B0A54_16665-T1	0.081712	0.469303	0.174114	713.006851	255.993149	1.788443	0.552321	1053
B0A54|B0A54_00004-T1	B0A54|B0A54_16664-T1	0.007948	0.293716	0.027061	1012.404828	235.595172	3.113937	0.185685	1254
B0A54|B0A54_00005-T1	B0A54|B0A54_16663-T1	0.022372	0.412448	0.054243	680.573395	174.426605	1.572913	0.305852	927
B0A54|B0A54_00006-T1	B0A54|B0A54_16662-T1	0.030942	0.681977	0.045371	971.164159	243.835841	1.012942	0.484791	1263
B0A54|B0A54_00007-T1	B0A54|B0A54_16661-T1	0.026238	0.325265	0.080667	408.399697	116.600303	4.046585	0.277952	525
B0A54|B0A54_00008-T1	B0A54|B0A54_16660-T1	0.009906	0.543469	0.018227	305.109467	69.890533	3.433210	0.328046	375
B0A54|B0A54_00009-T1	B0A54|B0A54_16659-T1	0.068670	0.497720	0.137968	1113.764923	401.235077	2.486651	0.546900	1635
B0A54|B0A54_00010-T1	B0A54|B0A54_16658-T1	0.102649	0.663971	0.154599	550.126735	115.873265	1.279344	0.600931	786
B0A54|B0A54_00011-T1	B0A54|B0A54_16657-T1	0.141366	0.840358	0.168222	490.414605	136.585395	1.669512	0.880903	993
B0A54|B0A54_00012-T1	B0A54|B0A54_16656-T1	0.029950	0.492623	0.060796	1050.565769	308.434231	1.366149	0.404869	1458
B0A54|B0A54_00013-T1	B0A54|B0A54_16655-T1	0.076009	0.414512	0.183370	229.761307	61.238693	4.245431	0.441733	309
B0A54|B0A54_00014-T1	B0A54|B0A54_16654-T1	0.028810	0.561118	0.051344	2246.955477	699.044523	2.693968	0.465358	3054
B0A54|B0A54_00015-T1	B0A54|B0A54_16653-T1	0.034602	0.512989	0.067451	685.478546	190.521454	2.739860	0.415939	876
B0A54|B0A54_00016-T1	B0A54|B0A54_16652-T1	0.011221	0.535185	0.020966	718.652044	223.347956	2.494740	0.406358	942
B0A54|B0A54_00017-T1	B0A54|B0A54_16651-T1	0.007230	0.359510	0.020109	416.989043	132.010957	5.023853	0.275813	549
B0A54|B0A54_00018-T1	B0A54|B0A54_18055-T1	0.089644	0.571964	0.156730	1347.335950	431.664050	2.391264	0.620028	1845
B0A54|B0A54_00019-T1	B0A54|B0A54_06515-T1	0.829234	4.323809	0.191783	992.035654	318.964346	1.720251	5.038377	1902
B0A54|B0A54_00020-T1	B0A54|B0A54_17751-T1	0.071529	0.340027	0.210362	477.885704	164.114296	3.242762	0.420495	642
B0A54|B0A54_00021-T1	B0A54|B0A54_17749-T1	0.022468	0.480347	0.046774	4270.272325	1261.727675	2.614668	0.380700	5538
B0A54|B0A54_00022-T1	B0A54|B0A54_17748-T1	0.020157	0.566053	0.035610	1684.666029	532.333971	2.872182	0.453704	2217
B0A54|B0A54_00023-T1	B0A54|B0A54_17747-T1	0.106482	0.470905	0.226123	519.057732	185.942268	1.965095	0.607794	819
