SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
PV10|PV10_00001T0	PV10|PV10_08586T0	0.925511	2.990238	0.309511	1225.684351	364.315649	1.193818	4.195800	2064
PV10|PV10_00003T0	PV10|PV10_05457T0	0.771162	3.134298	0.246040	1048.101444	319.898556	1.227787	3.971302	1557
PV10|PV10_00004T0	PV10|PV10_06989T0	0.476688	4.359867	0.109335	1120.326181	334.673819	1.385000	4.109648	1512
PV10|PV10_00005T0	PV10|PV10_02877T0	0.734958	2.020309	0.363785	836.163685	309.836315	1.512590	3.247410	2712
PV10|PV10_00007T0	PV10|PV10_01920T0	0.496128	2.731732	0.181617	616.108884	241.891116	1.652514	3.379198	963
PV10|PV10_00008T0	PV10|PV10_01785T0	0.739462	3.124251	0.236684	1132.041884	340.958116	1.291820	3.874420	1545
PV10|PV10_00009T0	PV10|PV10_02573T0	0.350036	4.529927	0.077272	1161.147884	419.852116	1.244486	4.380157	1689
PV10|PV10_00010T0	PV10|PV10_03526T0	0.672710	5.143958	0.130777	2782.956753	952.043247	1.441280	5.437263	3879
PV10|PV10_00011T0	PV10|PV10_00351T0	0.509920	2.486347	0.205088	872.060703	291.939297	1.135154	3.016864	1332
PV10|PV10_00012T0	PV10|PV10_01345T0	0.420148	2.566341	0.163715	668.465784	237.534216	2.188492	2.948504	969
PV10|PV10_00013T0	PV10|PV10_00318T0	0.880465	3.653542	0.240989	1054.787690	361.212310	1.409271	4.763575	1641
PV10|PV10_00014T0	PV10|PV10_06086T0	0.770399	2.288521	0.336636	1360.998286	484.001714	1.405918	3.505952	2295
PV10|PV10_00021T0	PV10|PV10_02195T0	0.612718	4.045869	0.151443	724.809855	220.190145	1.079642	4.237983	969
PV10|PV10_00037T0	PV10|PV10_01707T0	0.394220	4.191025	0.094063	947.790568	267.209432	0.904198	3.687701	1260
PV10|PV10_00040T0	PV10|PV10_01081T0	0.791686	2.293766	0.345147	789.383313	242.616687	1.567545	3.434447	1164
PV10|PV10_00042T0	PV10|PV10_02908T0	0.890067	2.799468	0.317942	1608.485931	476.514069	1.417264	3.979348	2922
PV10|PV10_00045T1	PV10|PV10_00045T0	0.000000	0.000000	99.000000	466.297131	211.702869	4.600000	0.000000	876
PV10|PV10_00049T0	PV10|PV10_04221T0	0.170339	1.357353	0.125493	773.665451	318.334549	2.574453	1.549115	1122
PV10|PV10_00050T0	PV10|PV10_02607T0	0.769714	2.160710	0.356232	885.116212	320.883788	1.362931	3.419460	1653
PV10|PV10_00052T0	PV10|PV10_07943T0	0.493491	4.270436	0.115560	908.945606	297.054394	1.258220	4.271413	1323
PV10|PV10_00054T0	PV10|PV10_02248T0	0.496729	4.129231	0.120296	875.923924	246.076076	1.005459	3.880218	1179
PV10|PV10_00056T1	PV10|PV10_00056T0	0.000000	0.002453	0.000010	1151.742855	408.257145	4.600000	0.001926	1596
PV10|PV10_00059T0	PV10|PV10_07964T0	0.756049	4.072029	0.185669	689.993996	228.006004	1.540159	4.738941	1095
PV10|PV10_00061T0	PV10|PV10_04304T0	0.741458	2.090590	0.354664	797.332911	270.667089	1.467530	3.250119	1782
PV10|PV10_00062T0	PV10|PV10_05884T0	0.637114	2.149729	0.296369	628.411313	205.588687	1.360494	3.029963	891
PV10|PV10_00067T1	PV10|PV10_00067T0	0.000000	0.000000	99.000000	1992.566925	839.433075	4.600000	0.000000	3510
PV10|PV10_00069T0	PV10|PV10_00081T0	0.509315	2.951275	0.172574	1190.220289	420.779711	1.330974	3.441403	1902
PV10|PV10_00070T0	PV10|PV10_00310T0	0.558976	1.503274	0.371839	398.295386	138.704614	1.808812	2.408652	582
PV10|PV10_00071T1	PV10|PV10_00071T0	0.000000	0.000000	99.000000	924.073691	437.926309	4.600000	0.000000	1560
PV10|PV10_00074T1	PV10|PV10_00074T0	0.000000	0.000000	99.000000	1056.572927	545.427073	4.600000	0.000000	1734
PV10|PV10_00076T0	PV10|PV10_04290T0	0.692675	2.141384	0.323471	1093.285984	394.714016	1.528222	3.230900	1791
PV10|PV10_00078T2	PV10|PV10_00078T1	0.023299	0.023396	0.995861	1627.426385	811.573615	2.053678	0.069993	2673
PV10|PV10_00079T0	PV10|PV10_03124T0	0.695592	2.453211	0.283543	759.335895	248.664105	1.376593	3.387539	1074
PV10|PV10_00082T0	PV10|PV10_01479T0	0.621293	5.200880	0.119459	1161.029598	311.970402	1.613358	4.773646	1524
PV10|PV10_00083T0	PV10|PV10_03801T0	0.582505	2.508814	0.232184	1256.349569	459.650431	1.210036	3.295468	2280
PV10|PV10_00085T1	PV10|PV10_00085T0	0.000000	0.000000	99.000000	2209.472899	940.527101	4.600000	0.000000	3639
