SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
A1O1|A1O1_00001T0	A1O1|A1O1_07418T0	0.395596	1.720366	0.229949	602.739113	216.260887	1.562799	2.236224	879
A1O1|A1O1_00002T0	A1O1|A1O1_05699T0	0.388510	1.193326	0.325569	462.810481	209.189519	1.715151	1.917134	807
A1O1|A1O1_00003T0	A1O1|A1O1_05698T0	0.381890	1.563117	0.244313	3333.990126	1379.009874	1.348346	2.182540	5154
A1O1|A1O1_00008T0	A1O1|A1O1_08757T0	0.550526	2.920927	0.188477	1141.776485	382.223515	1.402863	3.435088	1596
A1O1|A1O1_00009T0	A1O1|A1O1_08755T0	0.404921	3.990855	0.101462	770.383022	204.616978	1.033733	3.472433	996
A1O1|A1O1_00010T0	A1O1|A1O1_02248T0	0.357130	4.414037	0.080908	1320.259411	359.740589	1.334523	3.677524	1734
A1O1|A1O1_00011T0	A1O1|A1O1_02109T0	0.377730	4.329587	0.087244	1031.568930	321.431070	1.202287	3.949709	1413
A1O1|A1O1_00018T0	A1O1|A1O1_02136T0	0.574757	3.381819	0.169955	1085.454405	372.545595	1.448770	3.876037	1602
A1O1|A1O1_00019T0	A1O1|A1O1_02137T0	0.342216	2.127251	0.160873	717.747983	239.252017	1.655837	2.365436	963
A1O1|A1O1_00023T0	A1O1|A1O1_00816T0	0.495122	4.001145	0.123745	680.556268	207.443732	1.842645	3.942470	981
A1O1|A1O1_00024T0	A1O1|A1O1_06840T0	0.806463	1.704708	0.473080	761.075126	309.924874	1.674011	3.199189	1221
A1O1|A1O1_00025T0	A1O1|A1O1_06599T0	0.473308	4.106300	0.115264	754.333467	238.666533	1.531378	4.039481	1020
A1O1|A1O1_00026T0	A1O1|A1O1_07930T0	0.603584	4.674486	0.129123	1617.898031	509.101969	1.211059	4.733890	2466
A1O1|A1O1_00028T0	A1O1|A1O1_01760T0	0.904569	4.860384	0.186111	2311.695083	652.304917	1.003939	5.325445	3792
A1O1|A1O1_00030T0	A1O1|A1O1_03900T0	0.660386	3.881938	0.170118	558.041164	176.958836	1.058025	4.308024	777
A1O1|A1O1_00031T0	A1O1|A1O1_00983T0	0.853947	4.254494	0.200717	1020.193417	290.806583	1.515752	4.824774	1704
A1O1|A1O1_00038T0	A1O1|A1O1_06473T0	0.887684	4.281068	0.207351	997.704675	301.295325	1.470572	5.024278	2229
A1O1|A1O1_00044T0	A1O1|A1O1_06420T0	0.718325	4.123690	0.174195	859.734984	244.265016	1.155882	4.415333	1251
A1O1|A1O1_00045T0	A1O1|A1O1_03399T0	0.627657	4.327667	0.145034	1329.390856	320.609144	1.526071	4.039803	1980
A1O1|A1O1_00051T0	A1O1|A1O1_05965T0	0.868192	4.329551	0.200527	1178.584293	321.415707	1.100706	4.829647	1920
A1O1|A1O1_00055T0	A1O1|A1O1_04469T0	0.578157	4.423409	0.130704	1405.736035	364.263965	1.212253	4.108517	2427
A1O1|A1O1_00059T0	A1O1|A1O1_04918T0	0.425842	3.948102	0.107860	589.720823	193.279177	1.476625	3.885877	897
A1O1|A1O1_00063T0	A1O1|A1O1_05581T0	0.655574	4.756308	0.137832	1931.214217	567.785783	1.497851	4.761845	2991
A1O1|A1O1_00066T0	A1O1|A1O1_01355T0	0.616052	4.825955	0.127654	2436.962412	623.037588	1.147022	4.419654	3399
A1O1|A1O1_00068T0	A1O1|A1O1_08072T0	0.530632	2.316636	0.229053	1300.864195	337.135805	1.575704	2.694691	1791
A1O1|A1O1_00069T0	A1O1|A1O1_01365T0	0.466137	4.418847	0.105488	1344.945171	362.054829	1.213288	3.913522	1854
A1O1|A1O1_00070T0	A1O1|A1O1_02103T0	0.766615	4.657241	0.164607	1824.470875	497.529125	1.175591	4.800748	3243
A1O1|A1O1_00072T0	A1O1|A1O1_02319T0	0.305145	4.559354	0.066927	1462.346929	436.653071	1.312470	3.850053	1965
A1O1|A1O1_00078T0	A1O1|A1O1_00415T0	0.490110	4.242374	0.115527	880.854898	286.145102	1.398105	4.230464	1818
A1O1|A1O1_00081T0	A1O1|A1O1_02024T0	0.761293	4.368293	0.174277	1410.545372	338.454628	1.127528	4.377885	2544
A1O1|A1O1_00092T0	A1O1|A1O1_08791T0	0.853206	4.575093	0.186489	1423.086818	445.913182	1.321336	5.223565	2241
A1O1|A1O1_00094T0	A1O1|A1O1_07641T0	0.221577	4.134055	0.053598	757.335903	247.664097	1.979557	3.557210	1032
A1O1|A1O1_00095T0	A1O1|A1O1_08886T0	0.955967	4.676620	0.204414	1628.447482	510.552518	1.143796	5.532121	2508
A1O1|A1O1_00096T0	A1O1|A1O1_07951T0	0.333677	4.316323	0.077306	1298.203532	315.796468	1.472969	3.338773	1803
A1O1|A1O1_00104T0	A1O1|A1O1_06963T0	0.583841	3.244938	0.179924	498.045620	101.954380	1.486698	3.108074	624
A1O1|A1O1_00105T0	A1O1|A1O1_08973T0	0.396947	4.369918	0.090836	1196.811130	339.188870	1.545132	3.822847	1680
A1O1|A1O1_00109T0	A1O1|A1O1_07583T0	0.262062	1.466721	0.178672	281.734080	99.265920	5.175861	1.727773	945
A1O1|A1O1_00114T0	A1O1|A1O1_06985T0	0.870654	4.693329	0.185509	791.869718	312.130282	1.777769	5.854279	1803
A1O1|A1O1_00117T0	A1O1|A1O1_02014T0	0.769002	3.939908	0.195183	573.820891	191.179109	1.316642	4.684304	888
A1O1|A1O1_00126T0	A1O1|A1O1_01549T0	0.489995	4.156362	0.117890	878.859042	255.140958	1.285658	3.944696	1194
A1O1|A1O1_00133T0	A1O1|A1O1_07242T0	0.861765	4.640551	0.185703	1508.420268	486.579732	1.332506	5.350228	2535
A1O1|A1O1_00136T0	A1O1|A1O1_00948T0	0.531888	5.069071	0.104928	2489.426168	861.573832	1.210041	5.095322	3477
A1O1|A1O1_00138T0	A1O1|A1O1_06631T0	0.971294	2.511348	0.386762	977.392909	378.607091	1.433142	4.203872	1716
A1O1|A1O1_00140T0	A1O1|A1O1_06554T0	0.589838	2.842665	0.207495	1027.123510	343.876490	1.669811	3.464688	1788
A1O1|A1O1_00142T0	A1O1|A1O1_06403T0	0.837196	2.816566	0.297240	772.988322	238.011678	1.197426	3.909550	1188
A1O1|A1O1_00143T0	A1O1|A1O1_04272T0	0.675402	2.308396	0.292585	661.250169	223.749831	1.335055	3.264791	1152
A1O1|A1O1_00145T0	A1O1|A1O1_02153T0	0.720752	4.326015	0.166609	1213.096141	319.903859	1.288289	4.419276	1653
