SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
CANT|CANT_00007-T1	CANT|CANT_06340-T1	0.587174	3.652293	0.160769	754.715044	130.284956	1.180289	3.115214	1293
CANT|CANT_00009-T1	CANT|CANT_00148-T1	0.319815	3.401546	0.094021	407.739645	93.260355	1.232472	2.680424	552
CANT|CANT_00011-T1	CANT|CANT_03130-T1	0.498664	3.940850	0.126537	909.580595	191.419405	1.057592	3.291363	1398
CANT|CANT_00015-T1	CANT|CANT_04528-T1	0.699281	3.678988	0.190074	683.994171	135.005829	1.458678	3.571388	945
CANT|CANT_00018-T1	CANT|CANT_04595-T1	0.476254	3.973578	0.119855	856.042651	199.957349	1.413790	3.415455	1107
CANT|CANT_00023-T1	CANT|CANT_02426-T1	0.321899	1.778566	0.180988	338.350808	132.649192	1.796334	2.196434	546
CANT|CANT_00026-T1	CANT|CANT_00755-T1	0.759775	4.332793	0.175355	1327.192334	322.807666	0.998962	4.376411	2004
CANT|CANT_00220-T1	CANT|CANT_03670-T1	0.808698	4.422791	0.182848	1112.036221	363.963779	1.184094	5.099668	3750
CANT|CANT_00228-T1	CANT|CANT_01761-T1	0.544984	4.130208	0.131951	713.603076	246.396924	1.482028	4.395540	1218
CANT|CANT_00229-T1	CANT|CANT_01948-T1	0.790376	2.098298	0.376675	699.687208	209.312792	1.995722	3.274642	2454
CANT|CANT_00029-T1	CANT|CANT_01121-T1	0.578029	2.924456	0.197654	1478.672942	504.327058	1.558983	3.524355	5052
CANT|CANT_00036-T1	CANT|CANT_03567-T1	0.590303	4.153188	0.142132	924.936460	254.063540	1.207122	4.074214	1374
CANT|CANT_00038-T1	CANT|CANT_00818-T1	0.429452	0.910412	0.471711	265.416361	97.583639	2.126213	1.676238	1230
CANT|CANT_00041-T1	CANT|CANT_00878-T1	0.738961	2.910284	0.253914	1189.313287	334.686713	1.455991	3.647420	1755
CANT|CANT_00065-T1	CANT|CANT_04856-T1	0.489258	1.903905	0.256976	891.225569	251.774431	1.317097	2.402609	1659
CANT|CANT_00043-T1	CANT|CANT_05155-T1	0.644309	3.686631	0.174769	797.458574	240.541426	1.376934	4.047969	1842
CANT|CANT_00044-T1	CANT|CANT_05367-T1	0.836561	2.333374	0.358520	748.762000	262.238000	1.369390	3.674434	1461
CANT|CANT_00045-T1	CANT|CANT_00046-T1	0.778610	2.376200	0.327670	379.321152	133.678848	2.689566	3.584742	579
CANT|CANT_00056-T1	CANT|CANT_01301-T1	0.601863	3.540225	0.170007	526.798081	112.201919	1.035268	3.353429	1917
CANT|CANT_00075-T1	CANT|CANT_00247-T1	0.653715	4.139871	0.157907	998.407877	249.592123	1.107429	4.052772	1650
CANT|CANT_00076-T1	CANT|CANT_01631-T1	0.735603	4.409555	0.166820	1253.402786	357.597214	1.247690	4.653355	1794
CANT|CANT_00339-T1	CANT|CANT_03793-T1	0.703774	2.535836	0.277532	1524.422157	464.577843	1.338627	3.395087	2838
CANT|CANT_00326-T1	CANT|CANT_01774-T1	0.534312	4.559972	0.117174	1539.987104	437.012896	1.516629	4.272535	3870
CANT|CANT_00332-T1	CANT|CANT_05565-T1	0.537725	4.117644	0.130590	906.696131	242.303869	0.704911	3.878001	1503
CANT|CANT_00095-T1	CANT|CANT_00178-T1	0.705695	4.143096	0.170330	1102.332324	250.667676	1.444609	4.027607	2220
CANT|CANT_00101-T1	CANT|CANT_00442-T1	0.734413	4.031872	0.182152	803.880830	216.119170	1.097156	4.299251	1134
CANT|CANT_00107-T1	CANT|CANT_02346-T1	0.575659	3.875171	0.148550	565.630638	175.369362	1.695747	4.069621	942
CANT|CANT_00390-T1	CANT|CANT_06054-T1	0.240258	1.884643	0.127482	632.773773	183.226227	1.905472	1.828473	1104
CANT|CANT_00092-T1	CANT|CANT_04623-T1	0.574667	3.558052	0.161512	557.099238	114.900762	1.081614	3.254328	870
CANT|CANT_00267-T1	CANT|CANT_03964-T1	0.460590	2.327523	0.197889	706.229354	202.770646	1.336165	2.631141	1344
CANT|CANT_00163-T1	CANT|CANT_02544-T1	0.697673	4.936310	0.141335	2623.201139	721.798861	1.429773	4.836913	5166
CANT|CANT_00156-T1	CANT|CANT_04558-T1	0.894836	2.023822	0.442152	2315.104642	813.895358	1.794520	3.565503	4488
CANT|CANT_00158-T1	CANT|CANT_03455-T1	0.503453	4.666410	0.107889	1566.351113	503.648887	1.156778	4.549008	2793
